"set","qnum","id","difficulty","answer","img","skill","domain","fmt"
"Area and Volume 1","1.1","5252e606","372","C","Area_and_Volume_1/q_01.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.2","59cb654c","369","A","Area_and_Volume_1/q_02.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.3","0837c3b9","476","B","Area_and_Volume_1/q_03.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.4","c88183f7","369","C","Area_and_Volume_1/q_04.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.5","29e9b28c","660","A","Area_and_Volume_1/q_05.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.6","3453aafc","397","D","Area_and_Volume_1/q_06.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.7","f60bb551","394","A","Area_and_Volume_1/q_07.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.8","4420e500","369","B","Area_and_Volume_1/q_08.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.9","165c30c4","242","2048","Area_and_Volume_1/q_09.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 1","1.10","d683a9cc","598","A","Area_and_Volume_1/q_10.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.11","f39f88b7","246","1800","Area_and_Volume_1/q_11.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 1","1.12","93f48423","391","C","Area_and_Volume_1/q_12.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.13","d2047497","369","C","Area_and_Volume_1/q_13.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.14","a490003a","407","D","Area_and_Volume_1/q_14.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.15","50774285","407","A","Area_and_Volume_1/q_15.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.16","fc5ef8d3","573","C","Area_and_Volume_1/q_16.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.17","0e40dfb0","407","D","Area_and_Volume_1/q_17.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.18","2b41a4c4","243","880","Area_and_Volume_1/q_18.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 1","1.19","babd7461","656","A","Area_and_Volume_1/q_19.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 1","1.20","bb560789","407","D","Area_and_Volume_1/q_20.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.1","f67e4efc","401","A","Area_and_Volume_2/q_01.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.2","5afbdc8e","460","C","Area_and_Volume_2/q_02.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.3","ec5d4823","263","360","Area_and_Volume_2/q_03.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 2","2.4","151eda3c","472","B","Area_and_Volume_2/q_04.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.5","38517165","217","31","Area_and_Volume_2/q_05.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 2","2.6","08b7a3f5","266","27","Area_and_Volume_2/q_06.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 2","2.7","a2e76b60","518","C","Area_and_Volume_2/q_07.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.8","37dde49f","556","D","Area_and_Volume_2/q_08.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.9","cf53cb56","561","C","Area_and_Volume_2/q_09.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.10","d621cffb","398","D","Area_and_Volume_2/q_10.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.11","3b931fb0","246","29","Area_and_Volume_2/q_11.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 2","2.12","e0874bc2","573","D","Area_and_Volume_2/q_12.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.13","c0586eb5","394","C","Area_and_Volume_2/q_13.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.14","e336a1d2","372","D","Area_and_Volume_2/q_14.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.15","468613c0","411","C","Area_and_Volume_2/q_15.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.16","aef4fd8a","382","D","Area_and_Volume_2/q_16.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.17","9c0a0eca","407","B","Area_and_Volume_2/q_17.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.18","e9c5bfb2","644","B","Area_and_Volume_2/q_18.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.19","a2659088","411","D","Area_and_Volume_2/q_19.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.20","03c6994f","407","A","Area_and_Volume_2/q_20.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 2","2.21","096c7ef5","872","B","Area_and_Volume_2/q_21.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.1","a07ed090","564","C","Area_and_Volume_3/q_01.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.2","899c6042","239","66","Area_and_Volume_3/q_02.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 3","3.3","b0dc920d","495","D","Area_and_Volume_3/q_03.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.4","5b2b8866","242","518.4","Area_and_Volume_3/q_04.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 3","3.5","9f934297","242","2216","Area_and_Volume_3/q_05.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 3","3.6","dc71597b","530","A","Area_and_Volume_3/q_06.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.7","93de3f84","417","C","Area_and_Volume_3/q_07.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.8","eb70d2d0","639","24.5","Area_and_Volume_3/q_08.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 3","3.9","f7e626b2","393","D","Area_and_Volume_3/q_09.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.10","459dd6c5","263","135/8","Area_and_Volume_3/q_10.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 3","3.11","310c87fe","393","B","Area_and_Volume_3/q_11.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.12","983412ea","246","12","Area_and_Volume_3/q_12.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 3","3.13","099526fc","926","B","Area_and_Volume_3/q_13.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.14","c984f1a5","411","D","Area_and_Volume_3/q_14.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.15","6708546e","433","C","Area_and_Volume_3/q_15.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.16","b2528e6b","700","8","Area_and_Volume_3/q_16.jpg","Area and Volume","Geometry and Trig","SPR"
"Area and Volume 3","3.17","502d9690","433","C","Area_and_Volume_3/q_17.jpg","Area and Volume","Geometry and Trig","MCQ"
"Area and Volume 3","3.18","deff8a2f","411","C","Area_and_Volume_3/q_18.jpg","Area and Volume","Geometry and Trig","MCQ"
"Circles 1","1.1","23c5fcce","499","A","Circles_1/q_01.jpg","Circles","Geometry and Trig","MCQ"
"Circles 1","1.2","d03e29f1","408","C","Circles_1/q_02.jpg","Circles","Geometry and Trig","MCQ"
"Circles 1","1.3","f2495de4","384","C","Circles_1/q_03.jpg","Circles","Geometry and Trig","MCQ"
"Circles 2","2.1","8e7689e0","247","4","Circles_2/q_01.jpg","Circles","Geometry and Trig","SPR"
"Circles 2","2.2","74d8b897","220","81","Circles_2/q_02.jpg","Circles","Geometry and Trig","SPR"
"Circles 2","2.3","856372ca","439","B","Circles_2/q_03.jpg","Circles","Geometry and Trig","MCQ"
"Circles 2","2.4","95ba2d09","663","C","Circles_2/q_04.jpg","Circles","Geometry and Trig","MCQ"
"Circles 2","2.5","82c8325f","403","D","Circles_2/q_05.jpg","Circles","Geometry and Trig","MCQ"
"Circles 2","2.6","a0cacec1","220","192","Circles_2/q_06.jpg","Circles","Geometry and Trig","SPR"
"Circles 2","2.7","b96ff36e","241","5","Circles_2/q_07.jpg","Circles","Geometry and Trig","SPR"
"Circles 2","2.8","2d521ca9","381","B","Circles_2/q_08.jpg","Circles","Geometry and Trig","MCQ"
